Date,Open,High,Low,Close,Adj Close,Volume
1998-07-28,4.550000,4.600000,4.550000,4.550000,2.836384,6376
1998-07-29,4.250000,4.250000,4.250000,4.250000,2.649370,23560
1998-07-30,4.250000,4.250000,4.250000,4.250000,2.649370,0
1998-07-31,4.250000,4.250000,4.250000,4.250000,2.649370,0
1998-08-03,4.400000,4.400000,4.400000,4.400000,2.742877,7600
1998-08-04,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-05,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-06,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-07,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-10,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-11,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-12,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-13,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-14,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-17,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-18,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-19,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-20,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-21,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-24,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-25,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-26,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-27,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-28,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-08-31,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-01,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-02,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-03,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-04,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-07,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-08,4.400000,4.400000,4.400000,4.400000,2.742877,0
1998-09-09,5.200000,5.200000,5.200000,5.200000,3.241582,800
1998-09-10,5.150000,5.150000,5.150000,5.150000,3.210413,1200
1998-09-11,5.150000,5.150000,5.150000,5.150000,3.210413,1344
1998-09-14,5.150000,5.150000,5.150000,5.150000,3.210413,3200
1998-09-15,5.300000,5.300000,5.300000,5.300000,3.303920,6800
1998-09-16,5.250000,5.250000,5.250000,5.250000,3.272750,8344
1998-09-17,5.100000,5.100000,5.100000,5.100000,3.179243,9024
1998-09-18,4.950000,4.950000,4.950000,4.950000,3.085737,1600
1998-09-21,4.950000,4.950000,4.950000,4.950000,3.085737,4096
1998-09-22,4.950000,4.950000,4.950000,4.950000,3.085737,704
1998-09-23,4.900000,4.900000,4.900000,4.900000,3.054567,80
1998-09-24,4.900000,4.900000,4.900000,4.900000,3.054567,1120
1998-09-25,4.550000,4.600000,4.550000,4.550000,2.836384,3120
1998-09-28,4.550000,4.600000,4.550000,4.550000,2.836384,656
1998-09-29,4.550000,4.600000,4.550000,4.550000,2.836384,880
1998-09-30,4.550000,4.600000,4.550000,4.550000,2.836384,20880
1998-10-01,4.550000,4.550000,4.550000,4.550000,2.836384,0
1998-10-02,4.550000,4.550000,4.550000,4.550000,2.836384,40
1998-10-05,4.100000,4.100000,4.100000,4.100000,2.555862,7200
1998-10-06,4.050000,4.050000,4.050000,4.050000,2.524693,5600
1998-10-07,4.000000,4.000000,4.000000,4.000000,2.493524,9200
1998-10-08,4.000000,4.000000,4.000000,4.000000,2.493524,2800
1998-10-09,4.100000,4.100000,4.100000,4.100000,2.555862,800
1998-10-12,4.100000,4.100000,4.100000,4.100000,2.555862,17880
