Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.600000,7.400000,6.500000,6.800000,5.639938,1546980
2000-01-04,6.690000,6.750000,6.130000,6.130000,5.084238,2441040
2000-01-05,6.000000,6.000000,5.580000,5.655000,4.690271,2428580
2000-01-06,5.660000,5.790000,5.660000,5.725000,4.748329,2379390
2000-01-07,5.700000,6.000000,5.680000,6.000000,4.976415,2063800
2000-01-10,6.250000,6.350000,6.100000,6.100000,5.059355,2635510
2000-01-11,6.050000,6.130000,5.750000,5.990000,4.968121,2634870
2000-01-12,5.845000,5.920000,5.680000,5.760000,4.777358,1917220
2000-01-13,5.715000,6.050000,5.715000,5.990000,4.968121,2752980
2000-01-14,6.100000,6.400000,6.015000,6.375000,5.287441,4122260
2000-01-17,6.450000,6.480000,6.180000,6.240000,5.175471,2358510
2000-01-18,6.250000,6.290000,6.110000,6.250000,5.183765,1259420
2000-01-19,6.100000,6.285000,6.060000,6.275000,5.204500,1130810
2000-01-20,6.250000,6.550000,6.150000,6.550000,5.432585,3877400
2000-01-21,6.500000,6.710000,6.400000,6.690000,5.548703,2589640
2000-01-24,6.690000,6.690000,6.120000,6.120000,5.075943,1424650
2000-01-25,6.150000,6.460000,6.000000,6.350000,5.266706,1811760
2000-01-26,6.490000,7.100000,6.450000,7.100000,5.888758,2349180
2000-01-27,7.000000,7.500000,6.900000,7.500000,6.220519,1640620
2000-01-28,7.010000,7.430000,7.010000,7.310000,6.062931,1248560
2000-01-31,7.200000,7.260000,6.870000,7.185000,5.959257,1123130
2000-02-01,6.900000,7.260000,6.470000,6.730000,5.581879,1655370
2000-02-02,6.860000,7.180000,6.795000,7.030000,5.830699,2385610
2000-02-03,7.170000,7.515000,7.010000,7.515000,6.232959,2197560
2000-02-04,7.515000,7.980000,7.505000,7.600000,6.303460,1544110
2000-02-07,7.500000,8.295000,7.500000,7.510000,6.228813,1971740
2000-02-08,8.230000,8.770000,7.620000,8.685000,7.203362,5203500
2000-02-09,9.550000,10.520000,8.600000,9.120000,7.564150,7359270
2000-02-10,8.600000,9.490000,8.500000,9.220000,7.647092,5255960
2000-02-11,9.400000,9.700000,9.100000,9.400000,7.796382,3448060
2000-02-14,9.700000,9.890000,9.260000,9.260000,7.680268,2684940
2000-02-15,9.790000,9.925000,9.350000,9.400000,7.796382,3401720
2000-02-16,9.780000,10.780000,9.600000,10.780000,8.940960,6077130
2000-02-17,10.800000,10.870000,10.430000,10.790000,8.949251,2282100
2000-02-18,10.720000,10.820000,9.695000,9.695000,8.041058,2107680
2000-02-21,9.300000,9.350000,8.735000,8.930000,7.406562,1882170
2000-02-22,8.990000,9.800000,8.710000,9.480000,7.862734,5135750
2000-02-23,9.900000,10.290000,9.700000,10.090000,8.368671,1940010
2000-02-24,10.510000,10.700000,10.200000,10.680000,8.858018,1585950
2000-02-25,10.800000,11.900000,10.610000,11.750000,9.745479,2403200
2000-02-28,11.510000,11.590000,10.870000,11.400000,9.455191,1780730
2000-02-29,11.450000,11.480000,11.200000,11.400000,9.455191,2136160
2000-03-01,11.380000,12.000000,11.340000,11.910000,9.878181,2892150
2000-03-02,12.060000,12.600000,11.710000,11.750000,9.745479,1382640
2000-03-03,11.600000,11.850000,11.360000,11.640000,9.654244,1362220
2000-03-06,11.990000,12.570000,11.800000,11.910000,9.878181,1638440
2000-03-07,11.850000,11.900000,10.800000,11.010000,9.131722,906960
2000-03-08,10.750000,11.070000,10.510000,11.070000,9.181482,1951530
2000-03-09,11.690000,11.700000,10.800000,11.400000,9.455191,1166500
2000-03-10,11.620000,11.890000,11.100000,11.370000,9.430307,851600
2000-03-13,11.300000,11.300000,10.240000,10.550000,8.750196,1641340
2000-03-14,10.300000,10.500000,9.820000,10.000000,8.294025,1892250
2000-03-15,9.710000,9.765000,9.100000,9.750000,8.086673,2337450
2000-03-16,9.300000,9.590000,8.850000,8.900000,7.381683,2404270
2000-03-17,9.690000,9.900000,8.900000,9.700000,8.045205,2471960
2000-03-20,9.800000,10.630000,9.750000,10.400000,8.625785,1384620
2000-03-21,9.750000,9.930000,9.400000,9.410000,7.804676,1820530
2000-03-22,10.020000,10.100000,9.100000,9.400000,7.796382,1900960
2000-03-23,9.400000,9.500000,8.750000,8.800000,7.298742,1830740
2000-03-24,9.090000,9.540000,8.780000,9.450000,7.837852,1762340
2000-03-27,9.960000,10.370000,9.700000,9.925000,8.231821,857250
2000-03-28,10.200000,10.500000,9.900000,10.100000,8.376965,1626340
2000-03-29,10.200000,10.200000,9.350000,9.350000,7.754913,1026540
2000-03-30,9.200000,9.220000,8.690000,8.965000,7.435594,1680370
2000-03-31,8.270000,9.860000,8.100000,9.860000,8.177906,2486530
2000-04-03,9.860000,9.860000,8.200000,8.210000,6.809395,2419190
2000-04-04,7.700000,8.690000,7.660000,7.945000,6.589602,3931110
2000-04-05,8.000000,8.390000,7.210000,8.200000,6.801100,2729070
2000-04-06,8.400000,8.900000,8.350000,8.840000,7.331918,3083660
2000-04-07,9.160000,9.300000,8.715000,8.750000,7.257271,2373700
2000-04-10,8.860000,9.090000,8.200000,8.500000,7.049921,1619810
2000-04-11,8.025000,8.250000,7.900000,7.950000,6.593750,1326740
2000-04-12,7.925000,8.165000,7.620000,7.760000,6.436163,1765800
2000-04-13,7.710000,7.740000,7.440000,7.710000,6.394693,1529380
2000-04-14,7.710000,7.750000,7.280000,7.480000,6.203932,827190
2000-04-17,6.680000,7.250000,6.610000,7.100000,5.888758,2453230
2000-04-18,7.300000,7.530000,6.700000,7.150000,5.930227,2821460
2000-04-19,7.240000,7.600000,7.170000,7.450000,6.179048,2081860
2000-04-20,7.570000,7.680000,7.000000,7.250000,6.013168,1252650
2000-04-21,7.250000,7.250000,7.250000,7.250000,6.013168,0
2000-04-24,7.250000,7.250000,7.250000,7.250000,6.013168,0
2000-04-25,7.200000,7.550000,7.005000,7.060000,5.855582,2233580
2000-04-26,7.500000,8.150000,7.350000,8.150000,6.759629,2550100
2000-04-27,8.300000,8.300000,7.610000,7.695000,6.382252,1319900
2000-04-28,8.000000,8.460000,8.000000,8.460000,7.016744,1276170
2000-05-01,8.460000,8.460000,8.460000,8.460000,7.016744,0
2000-05-02,8.450000,8.560000,8.290000,8.480000,7.033332,1185630
