Date,Open,High,Low,Close,Adj Close,Volume
2002-03-14,9.180000,9.600000,9.140000,9.580000,2.728281,75150
2002-03-15,9.580000,9.900000,9.430000,9.600000,2.733977,60240
2002-03-18,9.660000,9.700000,9.390000,9.550000,2.719738,18540
2002-03-19,9.540000,9.580000,9.500000,9.540000,2.716889,8645
2002-03-20,9.540000,9.548000,9.500000,9.520000,2.711194,7600
2002-03-21,9.520000,9.520000,9.320000,9.360000,2.665627,10090
2002-03-22,9.350000,9.500000,9.320000,9.480000,2.699802,13305
2002-03-25,9.448000,9.460000,9.420000,9.430000,2.685563,2295
2002-03-26,9.440000,9.540000,9.440000,9.540000,2.716889,12640
2002-03-27,9.540000,9.540000,9.500000,9.540000,2.716889,5745
2002-03-28,9.540000,9.540000,9.540000,9.540000,2.716889,0
2002-03-29,9.540000,9.540000,9.540000,9.540000,2.716889,0
2002-04-01,9.540000,9.540000,9.540000,9.540000,2.716889,0
2002-04-02,9.600000,9.600000,9.420000,9.530000,2.714042,11260
2002-04-03,9.400000,9.474000,9.398000,9.420000,2.682715,5375
2002-04-04,9.420000,9.500000,9.360000,9.400000,2.677020,4715
2002-04-05,9.380000,9.400000,9.300000,9.400000,2.677020,5400
2002-04-08,9.300000,9.380000,9.200000,9.290000,2.645692,3590
2002-04-09,9.300000,9.300000,9.200000,9.300000,2.648540,3035
2002-04-10,9.300000,9.300000,9.220000,9.300000,2.648540,1400
2002-04-11,9.300000,9.300000,9.300000,9.300000,2.648540,500
2002-04-12,9.290000,9.300000,9.220000,9.260000,2.637148,775
2002-04-15,9.260000,9.260000,9.200000,9.220000,2.625757,1055
2002-04-16,9.200000,9.220000,9.200000,9.220000,2.625757,575
2002-04-17,9.220000,9.220000,9.220000,9.220000,2.625757,50
2002-04-18,9.220000,9.220000,8.960000,9.000000,2.563104,9105
2002-04-19,8.918000,9.140000,8.918000,9.000000,2.563104,8955
2002-04-22,8.930000,9.000000,8.880000,9.000000,2.563104,14550
2002-04-23,9.040000,9.040000,9.040000,9.040000,2.574495,50
2002-04-24,9.100000,9.140000,9.100000,9.140000,2.602974,300
2002-04-25,9.140000,9.140000,9.000000,9.100000,2.591583,6700
2002-04-26,9.060000,9.060000,8.640000,8.800000,2.506146,14535
2002-04-29,8.800000,8.800000,8.600000,8.800000,2.506146,1150
2002-04-30,8.840000,8.900000,8.800000,8.900000,2.534624,2300
2002-05-01,8.900000,8.900000,8.900000,8.900000,2.534624,0
2002-05-02,9.000000,9.000000,8.400000,8.400000,2.392229,5355
2002-05-03,8.600000,8.600000,8.000000,8.420000,2.397925,12980
2002-05-06,8.420000,8.420000,8.240000,8.240000,2.346663,1260
2002-05-07,8.202000,8.300000,8.202000,8.300000,2.363751,375
2002-05-08,8.220000,8.340000,8.220000,8.340000,2.375143,800
2002-05-09,8.340000,8.400000,8.340000,8.400000,2.392229,75
2002-05-10,8.376000,8.404000,8.376000,8.404000,2.393369,150
