,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,1998-07-28,4.55,4.6,4.55,4.55,2.836384,6376.0,,,,,,,,
1,1998-07-29,4.25,4.25,4.25,4.25,2.64937,23560.0,,,4.55,-0.2999999999999998,-0.06593406593406592,6376.0,17184.0,2.695106649937265
2,1998-07-30,4.25,4.25,4.25,4.25,2.64937,0.0,,,4.25,0.0,0.0,23560.0,-23560.0,-1.0
3,1998-07-31,4.25,4.25,4.25,4.25,2.64937,0.0,,,4.25,0.0,0.0,0.0,0.0,
4,1998-08-03,4.4,4.4,4.4,4.4,2.742877,7600.0,,,4.25,0.15000000000000036,0.03529411764705892,0.0,7600.0,inf
5,1998-08-04,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,7600.0,-7600.0,-1.0
6,1998-08-05,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
7,1998-08-06,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
8,1998-08-07,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
9,1998-08-10,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
10,1998-08-11,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
11,1998-08-12,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
12,1998-08-13,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
13,1998-08-14,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
14,1998-08-17,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
15,1998-08-18,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
16,1998-08-19,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
17,1998-08-20,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
18,1998-08-21,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
19,1998-08-24,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
20,1998-08-25,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
21,1998-08-26,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
22,1998-08-27,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
23,1998-08-28,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
24,1998-08-31,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
25,1998-09-01,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
26,1998-09-02,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
27,1998-09-03,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
28,1998-09-04,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
29,1998-09-07,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
30,1998-09-08,4.4,4.4,4.4,4.4,2.742877,0.0,,,4.4,0.0,0.0,0.0,0.0,
31,1998-09-09,5.2,5.2,5.2,5.2,3.241582,800.0,,,4.4,0.7999999999999998,0.18181818181818166,0.0,800.0,inf
32,1998-09-10,5.15,5.15,5.15,5.15,3.210413,1200.0,,,5.2,-0.04999999999999982,-0.009615384615384581,800.0,400.0,0.5
33,1998-09-11,5.15,5.15,5.15,5.15,3.210413,1344.0,,,5.15,0.0,0.0,1200.0,144.0,0.1200000000000001
34,1998-09-14,5.15,5.15,5.15,5.15,3.210413,3200.0,,,5.15,0.0,0.0,1344.0,1856.0,1.380952380952381
35,1998-09-15,5.3,5.3,5.3,5.3,3.30392,6800.0,,,5.15,0.14999999999999947,0.029126213592232997,3200.0,3600.0,1.125
36,1998-09-16,5.25,5.25,5.25,5.25,3.27275,8344.0,,,5.3,-0.04999999999999982,-0.009433962264150941,6800.0,1544.0,0.22705882352941176
37,1998-09-17,5.1,5.1,5.1,5.1,3.179243,9024.0,,,5.25,-0.15000000000000036,-0.028571428571428692,8344.0,680.0,0.08149568552253106
38,1998-09-18,4.95,4.95,4.95,4.95,3.085737,1600.0,,,5.1,-0.14999999999999947,-0.02941176470588225,9024.0,-7424.0,-0.8226950354609929
39,1998-09-21,4.95,4.95,4.95,4.95,3.085737,4096.0,,,4.95,0.0,0.0,1600.0,2496.0,1.56
40,1998-09-22,4.95,4.95,4.95,4.95,3.085737,704.0,,,4.95,0.0,0.0,4096.0,-3392.0,-0.828125
41,1998-09-23,4.9,4.9,4.9,4.9,3.054567,80.0,,,4.95,-0.04999999999999982,-0.010101010101010055,704.0,-624.0,-0.8863636363636364
42,1998-09-24,4.9,4.9,4.9,4.9,3.054567,1120.0,,,4.9,0.0,0.0,80.0,1040.0,13.0
43,1998-09-25,4.55,4.6,4.55,4.55,2.836384,3120.0,,,4.9,-0.35000000000000053,-0.07142857142857151,1120.0,2000.0,1.7857142857142856
44,1998-09-28,4.55,4.6,4.55,4.55,2.836384,656.0,,,4.55,0.0,0.0,3120.0,-2464.0,-0.7897435897435897
45,1998-09-29,4.55,4.6,4.55,4.55,2.836384,880.0,,,4.55,0.0,0.0,656.0,224.0,0.3414634146341464
46,1998-09-30,4.55,4.6,4.55,4.55,2.836384,20880.0,,,4.55,0.0,0.0,880.0,20000.0,22.727272727272727
47,1998-10-01,4.55,4.55,4.55,4.55,2.836384,0.0,,,4.55,0.0,0.0,20880.0,-20880.0,-1.0
