,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,2000-01-03,6.6,7.4,6.5,6.8,5.639938,1546980.0,,,,,,,,
1,2000-01-04,6.69,6.75,6.13,6.13,5.084238,2441040.0,,,6.8,-0.6699999999999999,-0.09852941176470587,1546980.0,894060.0,0.5779389520226506
2,2000-01-05,6.0,6.0,5.58,5.655,4.690271,2428580.0,,,6.13,-0.47499999999999964,-0.07748776508972266,2441040.0,-12460.0,-0.005104381738930908
3,2000-01-06,5.66,5.79,5.66,5.725,4.748329,2379390.0,,,5.655,0.0699999999999994,0.012378426171529622,2428580.0,-49190.0,-0.020254634395407978
4,2000-01-07,5.7,6.0,5.68,6.0,4.976415,2063800.0,,,5.725,0.27500000000000036,0.048034934497816595,2379390.0,-315590.0,-0.13263483497871298
5,2000-01-10,6.25,6.35,6.1,6.1,5.059355,2635510.0,,,6.0,0.09999999999999964,0.016666666666666607,2063800.0,571710.0,0.2770181219110379
6,2000-01-11,6.05,6.13,5.75,5.99,4.968121,2634870.0,,,6.1,-0.10999999999999943,-0.01803278688524579,2635510.0,-640.0,-0.00024283724971640996
7,2000-01-12,5.845,5.92,5.68,5.76,4.777358,1917220.0,,,5.99,-0.23000000000000043,-0.038397328881469184,2634870.0,-717650.0,-0.27236637860691415
8,2000-01-13,5.715,6.05,5.715,5.99,4.968121,2752980.0,,,5.76,0.23000000000000043,0.03993055555555558,1917220.0,835760.0,0.4359228466216709
9,2000-01-14,6.1,6.4,6.015,6.375,5.287441,4122260.0,,,5.99,0.3849999999999998,0.06427378964941566,2752980.0,1369280.0,0.4973810198403186
10,2000-01-17,6.45,6.48,6.18,6.24,5.175471,2358510.0,,,6.375,-0.1349999999999998,-0.02117647058823524,4122260.0,-1763750.0,-0.4278599603130322
11,2000-01-18,6.25,6.29,6.11,6.25,5.183765,1259420.0,,,6.24,0.009999999999999787,0.0016025641025640969,2358510.0,-1099090.0,-0.46601032007496257
12,2000-01-19,6.1,6.285,6.06,6.275,5.2045,1130810.0,,,6.25,0.025000000000000355,0.0040000000000000036,1259420.0,-128610.0,-0.10211843547029587
13,2000-01-20,6.25,6.55,6.15,6.55,5.432585,3877400.0,,,6.275,0.27499999999999947,0.043824701195219085,1130810.0,2746590.0,2.4288695713691957
14,2000-01-21,6.5,6.71,6.4,6.69,5.548703,2589640.0,,,6.55,0.14000000000000057,0.021374045801526798,3877400.0,-1287760.0,-0.3321194614948161
15,2000-01-24,6.69,6.69,6.12,6.12,5.075943,1424650.0,,,6.69,-0.5700000000000003,-0.08520179372197312,2589640.0,-1164990.0,-0.4498656183871117
16,2000-01-25,6.15,6.46,6.0,6.35,5.266706,1811760.0,,,6.12,0.22999999999999954,0.037581699346405095,1424650.0,387110.0,0.27172287930368855
17,2000-01-26,6.49,7.1,6.45,7.1,5.888758,2349180.0,,,6.35,0.75,0.11811023622047245,1811760.0,537420.0,0.2966286925420585
18,2000-01-27,7.0,7.5,6.9,7.5,6.220519,1640620.0,,,7.1,0.40000000000000036,0.05633802816901423,2349180.0,-708560.0,-0.3016201397934598
19,2000-01-28,7.01,7.43,7.01,7.31,6.062931,1248560.0,,,7.5,-0.1900000000000004,-0.02533333333333343,1640620.0,-392060.0,-0.23897063305335786
20,2000-01-31,7.2,7.26,6.87,7.185,5.959257,1123130.0,,,7.31,-0.125,-0.017099863201094356,1248560.0,-125430.0,-0.10045972960850902
21,2000-02-01,6.9,7.26,6.47,6.73,5.581879,1655370.0,,,7.185,-0.4549999999999992,-0.06332637439109245,1123130.0,532240.0,0.47388993259907575
22,2000-02-02,6.86,7.18,6.795,7.03,5.830699,2385610.0,,,6.73,0.2999999999999998,0.04457652303120363,1655370.0,730240.0,0.44113400629466515
