,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,2000-02-17,5.9375,5.9375,5.9375,5.9375,3.7324,265600.0,,,,,,,,
1,2000-02-18,6.325,6.325,6.325,6.325,3.975988,230256.0,,,5.9375,0.3875000000000002,0.06526315789473691,265600.0,-35344.0,-0.1330722891566265
2,2000-02-21,6.95625,6.95625,6.95625,6.95625,4.372802,157216.0,,,6.325,0.6312499999999996,0.09980237154150196,230256.0,-73040.0,-0.31721214648043916
3,2000-02-22,7.65,7.65,7.65,7.65,4.808903,219552.0,,,6.95625,0.6937500000000005,0.09973045822102433,157216.0,62336.0,0.39649908406269074
4,2000-02-23,7.6875,7.6875,7.6875,7.6875,4.832477,178944.0,,,7.65,0.037499999999999645,0.004901960784313708,219552.0,-40608.0,-0.18495846086576306
5,2000-02-24,8.00625,8.00625,8.00625,8.00625,5.032847,210144.0,,,7.6875,0.31874999999999964,0.04146341463414638,178944.0,31200.0,0.17435622317596566
6,2000-02-25,8.4375,8.4375,8.4375,8.4375,5.303937,229472.0,,,8.00625,0.43125000000000036,0.05386416861826704,210144.0,19328.0,0.09197502664839341
7,2000-02-28,8.125,8.125,8.125,8.125,5.107496,210096.0,,,8.4375,-0.3125,-0.03703703703703709,229472.0,-19376.0,-0.08443731697113377
8,2000-02-29,7.50625,7.50625,7.50625,7.50625,4.718539,92368.0,,,8.125,-0.6187500000000004,-0.07615384615384624,210096.0,-117728.0,-0.560353362272485
9,2000-03-01,7.5375,7.5375,7.5375,7.5375,4.738184,54144.0,,,7.50625,0.03125,0.004163197335553814,92368.0,-38224.0,-0.41382296899359083
10,2000-03-02,8.125,8.125,8.125,8.125,5.107496,72896.0,,,7.5375,0.5875000000000004,0.07794361525704807,54144.0,18752.0,0.3463356973995271
11,2000-03-03,8.09375,8.09375,8.09375,8.09375,5.087851,121904.0,,,8.125,-0.03125,-0.0038461538461538325,72896.0,49008.0,0.6723002633889377
12,2000-03-06,7.875,7.875,7.875,7.875,4.950342,95216.0,,,8.09375,-0.21875,-0.027027027027026973,121904.0,-26688.0,-0.21892636828980183
13,2000-03-07,7.5625,7.5625,7.5625,7.5625,4.7539,74080.0,,,7.875,-0.3125,-0.03968253968253965,95216.0,-21136.0,-0.22197949924382454
14,2000-03-08,7.5125,7.5125,7.5125,7.5125,4.722468,57760.0,,,7.5625,-0.04999999999999982,-0.006611570247933907,74080.0,-16320.0,-0.22030237580993517
15,2000-03-09,7.78125,7.78125,7.78125,7.78125,4.891409,72560.0,,,7.5125,0.2687499999999998,0.035773710482529086,57760.0,14800.0,0.2562326869806095
16,2000-03-10,8.06875,8.06875,8.06875,8.06875,5.072136,111664.0,,,7.78125,0.28749999999999964,0.03694779116465852,72560.0,39104.0,0.5389195148842338
17,2000-03-13,8.06875,8.06875,8.06875,8.06875,5.072136,0.0,,,8.06875,0.0,0.0,111664.0,-111664.0,-1.0
18,2000-03-14,7.1875,7.1875,7.1875,7.1875,4.518169,47424.0,,,8.06875,-0.8812499999999996,-0.10921766072811767,0.0,47424.0,inf
19,2000-03-15,7.1875,7.1875,7.1875,7.1875,4.518169,0.0,,,7.1875,0.0,0.0,47424.0,-47424.0,-1.0
20,2000-03-16,7.1875,7.1875,7.1875,7.1875,4.518169,0.0,,,7.1875,0.0,0.0,0.0,0.0,
21,2000-03-17,7.1125,7.1125,7.1125,7.1125,4.471023,67056.0,,,7.1875,-0.07500000000000018,-0.01043478260869568,0.0,67056.0,inf
22,2000-03-20,6.4375,6.4375,6.4375,6.4375,4.046707,31360.0,,,7.1125,-0.6749999999999998,-0.09490333919156413,67056.0,-35696.0,-0.532331185874493
23,2000-03-21,5.8125,5.8125,5.8125,5.8125,3.653824,42720.0,,,6.4375,-0.625,-0.09708737864077666,31360.0,11360.0,0.3622448979591837
24,2000-03-22,5.8125,5.8125,5.8125,5.8125,3.653824,0.0,,,5.8125,0.0,0.0,42720.0,-42720.0,-1.0
25,2000-03-23,5.8125,5.8125,5.8125,5.8125,3.653824,0.0,,,5.8125,0.0,0.0,0.0,0.0,
26,2000-03-24,5.8125,5.8125,5.8125,5.8125,3.653824,0.0,,,5.8125,0.0,0.0,0.0,0.0,
27,2000-03-27,5.6875,5.6875,5.6875,5.6875,3.575247,58208.0,,,5.8125,-0.125,-0.021505376344086002,0.0,58208.0,inf
28,2000-03-28,6.25625,6.25625,6.25625,6.25625,3.932771,37424.0,,,5.6875,0.5687499999999996,0.09999999999999987,58208.0,-20784.0,-0.357064321055525
29,2000-03-29,6.25,6.25,6.25,6.25,3.928843,24192.0,,,6.25625,-0.006249999999999645,-0.0009990009990009652,37424.0,-13232.0,-0.3535699016673792
30,2000-03-30,5.6875,5.6875,5.6875,5.6875,3.575247,28032.0,,,6.25,-0.5625,-0.08999999999999997,24192.0,3840.0,0.15873015873015883
31,2000-03-31,5.13125,5.13125,5.13125,5.13125,3.22558,36112.0,,,5.6875,-0.5562500000000004,-0.0978021978021979,28032.0,8080.0,0.28824200913242004
32,2000-04-03,4.61875,4.61875,4.61875,4.61875,2.903415,27472.0,,,5.13125,-0.5124999999999993,-0.09987819732034087,36112.0,-8640.0,-0.2392556490917147
33,2000-04-04,4.16875,4.16875,4.16875,4.16875,2.620538,46784.0,,,4.61875,-0.4500000000000002,-0.09742895805142082,27472.0,19312.0,0.7029702970297029
34,2000-04-05,3.75625,3.75625,3.75625,3.75625,2.361234,100912.0,,,4.16875,-0.4125000000000001,-0.09895052473763122,46784.0,54128.0,1.1569767441860463
